FullState(2 4 1 4 3 5 0 1 1)
Iteration: 100
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
3 5 0,-00.9688,-00.9375,+00.0000,-00.7850,+00.0000,+00.0000
4 1 0,-00.9375,-00.8750,-00.9375,+00.0000,+00.0000,+00.0000
4 2 0,-00.9375,-00.9375,-00.9574,-00.8750,+00.0000,+00.0000
4 3 0,-00.7242,-00.9375,-00.7500,-00.9375,+00.0000,+00.0000
4 4 0,-00.7500,-00.3638,-00.7500,-00.5000,+00.0000,+00.0000
4 5 0,-00.8750,+01.1695,+00.0000,-00.5000,+00.0000,+00.0000
5 1 0,-00.9844,+00.0000,-00.9922,+00.0000,+00.0000,+00.0000
5 2 0,-00.9688,+00.0000,-00.9844,-00.9688,+00.0000,+00.0000
5 3 0,-00.9844,+00.0000,-00.3874,-00.9688,+00.0000,+00.0000
5 4 0,-00.8750,+00.0000,+02.5047,-00.5000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.8984,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9999,-00.9995,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9961,-00.9961,-00.9961,+00.0000,+00.0000
1 3 1,+00.0000,-00.9688,-00.8750,-00.9688,+00.0000,+00.0000
1 4 1,+00.0000,-00.7395,-00.5000,-00.7500,+00.0000,+00.0000
1 5 1,+00.0000,-00.4180,+00.0000,-00.5000,+00.0000,+00.0000
2 1 1,-00.9998,-00.9844,-00.9980,+00.0000,+00.0000,+00.0000
2 2 1,-00.9961,-00.9922,-00.9844,-00.9990,+00.0000,+00.0000
2 3 1,-00.8750,-00.7500,-00.9197,-00.9961,+00.0000,+00.0000
2 4 1,-00.7500,-00.7500,-00.6492,-00.7500,+00.0000,+00.0000
2 5 1,-00.8129,-00.7500,+00.0000,-00.7198,+00.0000,+12.5938
3 1 1,-00.9375,-00.6098,-00.8750,+00.0000,+00.0000,+00.0000
3 2 1,-00.9844,-00.8750,-00.7500,-00.9375,+00.0000,+00.0000
3 3 1,-00.9375,-00.7552,-00.8750,-00.9375,+00.0000,+00.0000
3 4 1,-00.6950,-00.7500,-00.9375,-00.7500,+00.0000,+00.0000
3 5 1,-00.8750,-00.8750,+00.0000,-00.9375,+00.0000,+00.0000
4 1 1,-00.9375,+02.1094,-00.7500,+00.0000,+00.0000,+00.0000
4 2 1,-00.5000,-00.4953,-00.6145,-00.6589,+00.0000,+00.0000
4 3 1,-00.8750,-00.5961,-00.5000,-00.5000,+00.0000,+00.0000
4 4 1,-00.7500,-00.8750,-00.7500,-00.9197,+00.0000,+00.0000
4 5 1,-00.9375,-00.9375,+00.0000,-00.9375,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+12.7969
5 2 1,-00.8750,+00.0000,+00.0000,+01.6875,+00.0000,+00.0000
5 3 1,-00.5827,+00.0000,-00.5000,-00.6056,+00.0000,+12.7969
5 4 1,-00.9375,+00.0000,-00.8750,+00.9516,+00.0000,+00.0000
