FullState(2 4 1 4 3 5 0 1 1)
Iteration: 100
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
5 1 0,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 2 0,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000
5 3 0,-00.5000,+00.0000,-00.5000,-00.5000,+00.0000,+00.0000
5 4 0,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+06.5000,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9375,-00.9375,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9375,-00.8750,-00.8750,+00.0000,+00.0000
1 3 1,+00.0000,-00.8750,-00.5000,-00.7500,+00.0000,+00.0000
1 4 1,+00.0000,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
1 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.8750,-00.9375,-00.8750,+00.0000,+00.0000,+00.0000
2 2 1,-00.9375,-00.9375,-00.9375,-00.9375,+00.0000,+00.0000
2 3 1,-00.7500,-00.7500,-00.6788,-00.9375,+00.0000,+00.0000
2 4 1,-00.5000,-00.5000,+01.8063,-00.5000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+12.1875
3 1 1,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000,+00.0000
3 2 1,-00.9688,-00.7500,-00.5000,-00.5000,+00.0000,+00.0000
3 3 1,-00.7500,-00.7500,-00.8750,-00.7500,+00.0000,+00.0000
3 4 1,-00.6950,-00.5000,-00.9375,+00.0000,+00.0000,+00.0000
3 5 1,-00.5000,-00.5000,+00.0000,-00.8750,+00.0000,+00.0000
4 1 1,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000
4 2 1,-00.5000,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
4 3 1,-00.5000,+00.4750,-00.5000,+00.0000,+00.0000,+00.0000
4 4 1,-00.5000,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
4 5 1,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+06.5000
5 2 1,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 3 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+09.7500
5 4 1,-00.5000,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000
5 5 1,-00.5000,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000

FullState(5 5 1 2 0 3 2 2 5)
Iteration: 300
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+11.3750,+00.0000
1 2 0,+00.0000,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000
1 3 0,+00.0000,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
1 4 0,+00.0000,-00.8750,-00.8750,-00.8750,+00.0000,+00.0000
1 5 0,+00.0000,-00.9688,+00.0000,-00.9375,+00.0000,+00.0000
2 1 0,+01.2000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,-00.5000,-00.5000,-00.5000,-00.4288,+00.0000,+00.0000
2 3 0,-00.7500,-00.7500,-00.5000,-00.5000,+00.0000,+00.0000
2 4 0,-00.8750,-00.8224,-00.7500,-00.7500,+00.0000,+00.0000
2 5 0,-00.9688,-00.9688,+00.0000,-00.9688,+00.0000,+00.0000
3 1 0,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000
3 2 0,-00.7500,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
3 3 0,-00.5000,-00.7423,-00.6054,-00.5000,+12.5938,+00.0000
3 4 0,-00.5000,-00.5000,-00.5000,-00.6340,+00.0000,+00.0000
3 5 0,-00.8750,-00.7500,+00.0000,-00.7850,+00.0000,+00.0000
4 1 0,-00.7500,-00.7500,-00.5000,+00.0000,+00.0000,+00.0000
4 2 0,-00.5000,-00.5000,-00.6595,-00.5000,+00.0000,+00.0000
4 3 0,-00.4484,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000
4 4 0,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000
4 5 0,-00.7500,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.8750,+00.0000,-00.8750,+00.0000,+00.0000,+00.0000
5 2 0,-00.7500,+00.0000,-00.7500,-00.7500,+00.0000,+00.0000
5 3 0,-00.7500,+00.0000,-00.7500,-00.7500,+00.0000,+00.0000
5 4 0,-00.5000,+00.0000,+00.4750,-00.5000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+09.7500,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9844,-00.9844,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9688,-00.9375,-00.9375,+00.0000,+00.0000
1 3 1,+00.0000,-00.8750,-00.7500,-00.7500,+00.0000,+00.0000
1 4 1,+00.0000,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000
1 5 1,+00.0000,+01.3281,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.9688,-00.9375,-00.9375,+00.0000,+00.0000,+00.0000
2 2 1,-00.9688,-00.9688,-00.9375,-00.9375,+00.0000,+00.0000
2 3 1,-00.7500,-00.7500,-00.6788,-00.9375,+00.0000,+00.0000
2 4 1,-00.5000,-00.5000,+01.8063,-00.5000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938
3 1 1,-00.8750,-00.8750,-00.7500,+00.0000,+00.0000,+00.0000
3 2 1,-00.9688,-00.7500,-00.5000,-00.7500,+00.0000,+00.0000
3 3 1,-00.7500,-00.7500,-00.8750,-00.7500,+00.0000,+00.0000
3 4 1,-00.6950,-00.5000,-00.9375,+00.0000,+00.0000,+00.0000
3 5 1,-00.5000,-00.5000,+00.0000,-00.8750,+00.0000,+00.0000
4 1 1,-00.7500,+00.2250,-00.5000,+00.0000,+00.0000,+00.0000
4 2 1,-00.5000,-00.5000,+00.0000,-00.7500,+00.0000,+00.0000
4 3 1,-00.5000,+00.4750,-00.5000,+00.0000,+00.0000,+00.0000
4 4 1,-00.5000,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
4 5 1,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+09.7500
5 2 1,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 3 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+09.7500
5 4 1,-00.5000,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000
5 5 1,-00.5000,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000

FullState(4 3 0 0 0 2 3 5 5)
Iteration: 400
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938,+00.0000
1 2 0,+00.0000,-00.7500,-00.5000,+00.9563,+00.0000,+00.0000
1 3 0,+00.0000,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
1 4 0,+00.0000,-00.8750,-00.8750,-00.8750,+00.0000,+00.0000
1 5 0,+00.0000,-00.9688,+00.0000,-00.9375,+00.0000,+00.0000
2 1 0,+01.9281,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000
2 2 0,-00.8750,-00.5000,-00.5000,-00.5344,+00.0000,+00.0000
2 3 0,-00.7500,-00.7500,-00.5000,-00.7500,+00.0000,+00.0000
2 4 0,-00.8750,-00.8224,-00.7500,-00.7500,+00.0000,+00.0000
2 5 0,-00.9688,-00.9688,+00.0000,-00.9688,+00.0000,+00.0000
3 1 0,-00.5700,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000
3 2 0,-00.7500,-00.7500,-00.5000,-00.5000,+00.0000,+00.0000
3 3 0,-00.7500,-00.7423,-00.6054,-00.7500,+12.5938,+00.0000
3 4 0,-00.5000,-00.5000,-00.5000,-00.6340,+00.0000,+00.0000
3 5 0,-00.8750,-00.7500,+00.0000,-00.7850,+00.0000,+00.0000
4 1 0,-00.8750,-00.7500,-00.7500,+00.0000,+00.0000,+00.0000
4 2 0,-00.7500,-00.7500,-00.8298,-00.7500,+00.0000,+00.0000
4 3 0,-00.7242,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000
4 4 0,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000
4 5 0,-00.7500,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.9375,+00.0000,-00.9375,+00.0000,+00.0000,+00.0000
5 2 0,-00.9375,+00.0000,-00.8750,-00.8750,+00.0000,+00.0000
5 3 0,-00.8750,+00.0000,-00.8038,-00.9375,+00.0000,+00.0000
5 4 0,-00.5000,+00.0000,+01.2000,-00.5000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+11.3750,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9961,-00.9922,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9844,-00.9688,-00.9688,+00.0000,+00.0000
1 3 1,+00.0000,-00.8750,-00.8750,-00.8750,+00.0000,+00.0000
1 4 1,+00.0000,-00.4791,-00.5000,-00.5000,+00.0000,+00.0000
1 5 1,+00.0000,-00.4180,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.9688,-00.9688,-00.9844,+00.0000,+00.0000,+00.0000
2 2 1,-00.9844,-00.9844,-00.9688,-00.9688,+00.0000,+00.0000
2 3 1,-00.8750,-00.7500,-00.6788,-00.9688,+00.0000,+00.0000
2 4 1,-00.5000,-00.5000,-00.6492,-00.5000,+00.0000,+00.0000
2 5 1,-00.6258,-00.7500,+00.0000,-00.7198,+00.0000,+12.5938
3 1 1,-00.8750,-00.8750,-00.8750,+00.0000,+00.0000,+00.0000
3 2 1,-00.9688,-00.8750,-00.7500,-00.7500,+00.0000,+00.0000
3 3 1,-00.8750,-00.6950,-00.8750,-00.7500,+00.0000,+00.0000
3 4 1,-00.6950,-00.7500,-00.9375,-00.5000,+00.0000,+00.0000
3 5 1,-00.7500,-00.7500,+00.0000,-00.9375,+00.0000,+00.0000
4 1 1,-00.7500,+00.2250,-00.5000,+00.0000,+00.0000,+00.0000
4 2 1,-00.5000,-00.5000,-00.2291,-00.7500,+00.0000,+00.0000
4 3 1,-00.5000,+00.6156,-00.5000,+00.0000,+00.0000,+00.0000
4 4 1,-00.7500,-00.7500,-00.5000,-00.6788,+00.0000,+00.0000
4 5 1,-00.7500,-00.7500,+00.0000,-00.7500,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+11.3750
5 2 1,-00.5000,+00.0000,+00.0000,+00.9625,+00.0000,+00.0000
5 3 1,-00.1653,+00.0000,+00.0000,-00.5000,+00.0000,+12.5938
5 4 1,-00.7500,+00.0000,-00.5000,-00.7500,+00.0000,+00.0000
5 5 1,-00.8750,+00.0000,+00.0000,-00.8750,+00.0000,+00.0000

FullState(5 1 0 0 0 0 5 5 5)
Iteration: 499
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938,+00.0000
1 2 0,+00.0000,-00.7500,-00.5000,+00.9563,+00.0000,+00.0000
1 3 0,+00.0000,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
1 4 0,+00.0000,-00.9375,-00.8750,-00.8750,+00.0000,+00.0000
1 5 0,+00.0000,-00.9688,+00.0000,-00.9688,+00.0000,+00.0000
2 1 0,+01.9281,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000
2 2 0,-00.8750,-00.5000,-00.5000,-00.5344,+00.0000,+00.0000
2 3 0,-00.7500,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
2 4 0,-00.8750,-00.9112,-00.8750,-00.8750,+00.0000,+00.0000
2 5 0,-00.9844,-00.9688,+00.0000,-00.9688,+00.0000,+00.0000
3 1 0,-00.5700,-00.7500,-00.7500,+00.0000,+00.0000,+00.0000
3 2 0,-00.7500,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
3 3 0,-00.7500,-00.7423,-00.8027,-00.7500,+12.5938,+00.0000
3 4 0,-00.7500,-00.7500,-00.7500,-00.6340,+00.0000,+00.0000
3 5 0,-00.8750,-00.8750,+00.0000,-00.7850,+00.0000,+00.0000
4 1 0,-00.9375,-00.8750,-00.8750,+00.0000,+00.0000,+00.0000
4 2 0,-00.8750,-00.7500,-00.9149,-00.7500,+00.0000,+00.0000
4 3 0,-00.7242,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
4 4 0,-00.7500,-00.4791,-00.5000,-00.5000,+00.0000,+00.0000
4 5 0,-00.7500,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
5 1 0,-00.9844,+00.0000,-00.9688,+00.0000,+00.0000,+00.0000
5 2 0,-00.9375,+00.0000,-00.8750,-00.9375,+00.0000,+00.0000
5 3 0,-00.8750,+00.0000,-00.7219,-00.9375,+00.0000,+00.0000
5 4 0,-00.5000,+00.0000,+02.2313,-00.5000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9990,-00.9980,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9922,-00.9844,-00.9922,+00.0000,+00.0000
1 3 1,+00.0000,-00.8750,-00.8750,-00.9688,+00.0000,+00.0000
1 4 1,+00.0000,-00.7395,-00.5000,-00.7500,+00.0000,+00.0000
1 5 1,+00.0000,-00.4180,+00.0000,-00.5000,+00.0000,+00.0000
2 1 1,-00.9922,-00.9844,-00.9922,+00.0000,+00.0000,+00.0000
2 2 1,-00.9844,-00.9844,-00.9844,-00.9844,+00.0000,+00.0000
2 3 1,-00.8750,-00.7500,-00.8394,-00.9688,+00.0000,+00.0000
2 4 1,-00.7500,-00.7500,-00.6492,-00.5000,+00.0000,+00.0000
2 5 1,-00.8129,-00.7500,+00.0000,-00.7198,+00.0000,+12.5938
3 1 1,-00.9375,-00.9038,-00.8750,+00.0000,+00.0000,+00.0000
3 2 1,-00.9688,-00.8750,-00.7500,-00.8750,+00.0000,+00.0000
3 3 1,-00.8750,-00.7552,-00.8750,-00.8750,+00.0000,+00.0000
3 4 1,-00.6950,-00.7500,-00.9375,-00.7500,+00.0000,+00.0000
3 5 1,-00.8750,-00.8750,+00.0000,-00.9375,+00.0000,+00.0000
4 1 1,-00.7500,+01.4406,-00.5000,+00.0000,+00.0000,+00.0000
4 2 1,-00.5000,-00.5000,-00.6145,-00.7500,+00.0000,+00.0000
4 3 1,-00.7500,-00.5961,-00.5000,-00.5000,+00.0000,+00.0000
4 4 1,-00.7500,-00.8750,-00.7500,-00.8394,+00.0000,+00.0000
4 5 1,-00.9375,-00.9375,+00.0000,-00.8750,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938
5 2 1,-00.5000,+00.0000,+00.0000,+01.6875,+00.0000,+00.0000
5 3 1,-00.5827,+00.0000,-00.5000,-00.6056,+00.0000,+12.5938
5 4 1,-00.9375,+00.0000,-00.8750,-00.8750,+00.0000,+00.0000
5 5 1,-00.9844,+00.0000,+00.0000,-00.9844,+00.0000,+00.0000

FullState(1 1 1 5 4 3 1 1 0)
Iteration: 100
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938,+00.0000
1 2 0,+00.0000,-00.7500,-00.5000,+00.9563,+00.0000,+00.0000
1 3 0,+00.0000,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
1 4 0,+00.0000,-00.9375,-00.8750,-00.8750,+00.0000,+00.0000
1 5 0,+00.0000,-00.9922,+00.0000,-00.9688,+00.0000,+00.0000
2 1 0,+01.9281,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000
2 2 0,-00.8750,-00.7500,-00.5000,-00.5344,+00.0000,+00.0000
2 3 0,-00.7500,-00.7500,-00.7500,-00.8750,+00.0000,+00.0000
2 4 0,-00.8750,-00.9112,-00.8750,-00.9375,+00.0000,+00.0000
2 5 0,-00.9922,-00.9922,+00.0000,-00.9844,+00.0000,+00.0000
3 1 0,-00.5700,-00.7500,-00.7500,+00.0000,+00.0000,+00.0000
3 2 0,-00.7500,-00.8750,+01.0141,-00.7500,+00.0000,+00.0000
3 3 0,-00.7500,-00.7423,-00.8027,-00.7500,+12.7969,+00.0000
3 4 0,-00.7500,-00.7500,-00.7500,-00.6340,+00.0000,+00.0000
