FullState(3 3 1 4 3 5 0 1 1)
Iteration: 100
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 1.0
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+03.9000,+00.0000
1 2 0,+00.0000,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000
1 3 0,+00.0000,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000
1 4 0,+00.0000,-00.6570,-00.3000,-00.5100,+00.0000,+00.0000
1 5 0,+00.0000,+00.0000,+00.0000,-00.6570,+00.0000,+00.0000
2 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 3 0,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
2 4 0,-00.6570,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 5 0,-00.3000,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
3 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
3 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
3 3 0,+00.0000,+00.0000,+00.0000,+00.0000,+06.6300,+00.0000
3 4 0,+00.0000,-00.3000,+00.0000,+00.0510,+00.0000,+00.0000
3 5 0,-00.3000,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000
4 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 3 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 4 0,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000
4 5 0,-00.5100,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 2 0,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000
5 3 0,+00.0000,+00.0000,-00.3000,-00.3000,+00.0000,+00.0000
5 4 0,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.5100,-00.6570,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.5100,-00.5100,-00.6570,+00.0000,+00.0000
1 3 1,+00.0000,-00.5100,-00.3000,+00.0000,+00.0000,+00.0000
1 4 1,+00.0000,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000
1 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.3000,-00.6570,-00.3000,+00.0000,+00.0000,+00.0000
2 2 1,-00.7599,-00.6570,-00.5100,-00.3000,+00.0000,+00.0000
2 3 1,+00.0000,-00.3000,+00.0000,-00.7599,+00.0000,+00.0000
2 4 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+03.9000
3 1 1,-00.5100,-00.3000,-00.3000,+00.0000,+00.0000,+00.0000
3 2 1,-00.6570,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000
3 3 1,-00.3000,-00.5100,-00.5100,+00.0000,+00.0000,+00.0000
3 4 1,+00.0000,+00.0000,-00.7599,-00.3000,+00.0000,+00.0000
3 5 1,-00.3000,-00.3000,+00.0000,-00.6570,+00.0000,+00.0000
4 1 1,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 2 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 3 1,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000
4 4 1,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
4 5 1,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 2 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 3 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+03.9000
5 4 1,+00.0000,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000
5 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000

FullState(5 3 0 2 0 1 3 5 4)
Iteration: 361
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 1.0
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+08.5410,+00.0000
1 2 0,+00.0000,+00.0000,-00.3000,-00.1590,+00.0000,+00.0000
1 3 0,+00.0000,-00.3000,+00.0000,-00.6570,+00.0000,+00.0000
1 4 0,+00.0000,-00.7599,-00.8319,-00.6570,+00.0000,+00.0000
1 5 0,+00.0000,-00.6570,+00.0000,-00.9176,+00.0000,+00.0000
2 1 0,+00.2967,-00.5100,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 3 0,+00.0000,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
2 4 0,-00.8319,-00.2954,-00.5100,+00.0000,+00.0000,+00.0000
2 5 0,-00.7599,-00.7599,+00.0000,-00.6570,+00.0000,+00.0000
3 1 0,-00.6570,+00.0000,-00.4833,+00.0000,+00.0000,+00.0000
3 2 0,+00.0000,-00.3000,+00.7968,+00.0000,+00.0000,+00.0000
3 3 0,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151,+00.0000
3 4 0,-00.3000,-00.5100,-00.3000,+00.0510,+00.0000,+00.0000
3 5 0,-00.5100,-00.7521,+00.0000,-00.3000,+00.0000,+00.0000
4 1 0,-00.6570,-00.7599,-00.6570,+00.0000,+00.0000,+00.0000
4 2 0,-00.3000,-00.3000,-00.7177,-00.3000,+00.0000,+00.0000
4 3 0,+00.4687,-00.8319,-00.7599,-00.5100,+00.0000,+00.0000
4 4 0,-00.6492,-00.5054,-00.3000,-00.5853,+00.0000,+00.0000
