FullState(4 3 0 3 2 4 1 4 1)
Iteration: 100
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+08.5410
3 1 1,-00.7599,-00.6570,-00.6570,+00.0000,+00.0000,+00.0000
3 2 1,-00.6570,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
3 3 1,-00.6570,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
3 4 1,-00.3000,-00.3000,-00.7599,-00.3000,+00.0000,+00.0000
3 5 1,+00.0867,-00.3000,+00.0000,-00.6570,+00.0000,+00.0000
4 1 1,-00.5100,-00.3000,-00.3000,+00.0000,+00.0000,+00.0000
4 2 1,-00.3000,-00.3000,-00.4259,-00.3000,+00.0000,+00.0000
4 3 1,-00.3000,+01.0800,-00.3000,+00.0000,+00.0000,+00.0000
4 4 1,-00.3000,-00.3000,-00.3000,-00.2954,+00.0000,+00.0000
4 5 1,-00.5100,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+03.9000
5 2 1,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 3 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151
5 4 1,-00.3000,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000
5 5 1,-00.5100,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000

FullState(1 4 0 1 0 1 3 5 5)
Iteration: 300
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+09.8787,+00.0000
1 2 0,+00.0000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
1 3 0,+00.0000,-00.5100,-00.5100,-00.5100,+00.0000,+00.0000
1 4 0,+00.0000,-00.8319,-00.7599,-00.7599,+00.0000,+00.0000
1 5 0,+00.0000,-00.8319,+00.0000,-00.8319,+00.0000,+00.0000
2 1 0,+00.7014,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,-00.3000,-00.3000,+00.0000,-00.2954,+00.0000,+00.0000
2 3 0,-00.3000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
2 4 0,-00.9176,-00.6154,-00.3000,-00.3000,+00.0000,+00.0000
2 5 0,-00.8319,-00.8319,+00.0000,-00.8319,+00.0000,+00.0000
3 1 0,-00.6239,-00.3000,-00.2578,+00.0000,+00.0000,+00.0000
3 2 0,-00.3000,-00.3000,+00.0281,-00.5100,+00.0000,+00.0000
3 3 0,-00.3000,+00.0000,-00.6208,-00.2578,+10.8151,+00.0000
3 4 0,-00.3000,-00.6570,-00.3000,-00.2039,+00.0000,+00.0000
3 5 0,-00.7599,-00.5100,+00.0000,-00.5100,+00.0000,+00.0000
4 1 0,-00.5100,-00.5100,-00.6570,+00.0000,+00.0000,+00.0000
4 2 0,-00.6148,-00.5100,-00.6570,-00.5100,+00.0000,+00.0000
4 3 0,-00.3646,-00.5100,-00.5100,-00.5100,+00.0000,+00.0000
4 4 0,-00.3000,-00.5100,-00.4833,-00.4913,+00.0000,+00.0000
4 5 0,-00.5100,+00.6764,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.7599,+00.0000,-00.6570,+00.0000,+00.0000,+00.0000
5 2 0,-00.7599,+00.0000,-00.5100,-00.5100,+00.0000,+00.0000
5 3 0,-00.7412,+00.0000,-00.7599,-00.6570,+00.0000,+00.0000
5 4 0,-00.5100,+00.0000,-00.1590,-00.5100,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+09.8787,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9596,-00.9424,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9176,-00.8824,-00.8824,+00.0000,+00.0000
1 3 1,+00.0000,-00.6570,-00.5100,-00.7599,+00.0000,+00.0000
1 4 1,+00.0000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
1 5 1,+00.0000,+00.4687,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.9176,-00.8824,-00.8319,+00.0000,+00.0000,+00.0000
2 2 1,-00.9176,-00.8319,-00.7599,-00.8319,+00.0000,+00.0000
2 3 1,-00.5100,-00.5100,-00.5100,-00.8319,+00.0000,+00.0000
2 4 1,-00.3000,-00.3000,+00.6248,-00.3000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151
3 1 1,-00.7599,-00.7599,-00.6570,+00.0000,+00.0000,+00.0000
3 2 1,-00.7599,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
3 3 1,-00.6570,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
3 4 1,-00.5054,-00.3000,-00.7599,-00.3000,+00.0000,+00.0000
3 5 1,+00.0867,-00.3000,+00.0000,-00.6570,+00.0000,+00.0000
4 1 1,-00.5100,+00.0867,-00.3000,+00.0000,+00.0000,+00.0000
4 2 1,-00.3000,-00.3000,-00.4259,-00.3000,+00.0000,+00.0000
4 3 1,-00.3000,+00.0192,-00.3000,+00.0000,+00.0000,+00.0000
4 4 1,-00.5100,-00.5100,-00.3000,-00.4096,+00.0000,+00.0000
4 5 1,-00.5100,-00.5100,+00.0000,-00.5100,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+08.5410
5 2 1,-00.3000,+00.0000,+00.0000,+00.0510,+00.0000,+00.0000
5 3 1,-00.2590,+00.0000,-00.3000,-00.3000,+00.0000,+10.8151
5 4 1,-00.6570,+00.0000,-00.5100,-00.5100,+00.0000,+00.0000
5 5 1,-00.7599,+00.0000,+00.0000,-00.7599,+00.0000,+00.0000

FullState(3 3 1 0 0 0 4 5 5)
Iteration: 400
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151,+00.0000
1 2 0,+00.0000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
1 3 0,+00.0000,-00.5100,-00.6570,-00.5100,+00.0000,+00.0000
1 4 0,+00.0000,-00.8319,-00.8824,-00.8319,+00.0000,+00.0000
1 5 0,+00.0000,-00.9176,+00.0000,-00.8824,+00.0000,+00.0000
2 1 0,+01.0800,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,-00.3000,-00.5075,-00.3000,-00.4437,+00.0000,+00.0000
2 3 0,-00.3000,-00.3000,-00.3000,-00.5100,+00.0000,+00.0000
2 4 0,-00.9176,-00.6154,-00.3000,-00.3000,+00.0000,+00.0000
2 5 0,-00.8824,-00.8824,+00.0000,-00.8319,+00.0000,+00.0000
3 1 0,-00.6239,-00.5100,-00.4779,+00.0000,+00.0000,+00.0000
3 2 0,-00.6570,-00.3000,+00.0281,-00.5100,+00.0000,+00.0000
3 3 0,-00.3000,+00.0000,-00.6208,-00.2578,+10.8151,+00.0000
3 4 0,-00.3000,-00.6570,-00.3000,-00.2039,+00.0000,+00.0000
3 5 0,-00.7599,-00.5961,+00.0000,-00.5100,+00.0000,+00.0000
4 1 0,-00.7599,-00.6570,-00.6570,+00.0000,+00.0000,+00.0000
4 2 0,-00.6148,-00.5100,-00.6570,-00.5100,+00.0000,+00.0000
4 3 0,-00.3646,-00.5100,-00.5100,-00.5100,+00.0000,+00.0000
4 4 0,-00.3000,-00.5100,-00.4833,-00.4913,+00.0000,+00.0000
4 5 0,-00.5100,+01.0625,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.8824,+00.0000,-00.8319,+00.0000,+00.0000,+00.0000
5 2 0,-00.7599,+00.0000,-00.6570,-00.7599,+00.0000,+00.0000
5 3 0,-00.7412,+00.0000,-00.7599,-00.7599,+00.0000,+00.0000
5 4 0,-00.5100,+00.0000,-00.1590,-00.5100,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9718,-00.9596,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9176,-00.9176,-00.9176,+00.0000,+00.0000
1 3 1,+00.0000,-00.6570,-00.7599,-00.8319,+00.0000,+00.0000
1 4 1,+00.0000,-00.6176,-00.4678,-00.5100,+00.0000,+00.0000
1 5 1,+00.0000,-00.4962,+00.0000,-00.3000,+00.0000,+00.0000
2 1 1,-00.9176,-00.8824,-00.8824,+00.0000,+00.0000,+00.0000
2 2 1,-00.9176,-00.8319,-00.8319,-00.8319,+00.0000,+00.0000
2 3 1,-00.6570,-00.5100,-00.5100,-00.8319,+00.0000,+00.0000
2 4 1,-00.5100,-00.3000,-00.6099,-00.3000,+00.0000,+00.0000
2 5 1,-00.6558,-00.7572,+00.0000,-00.6208,+00.0000,+10.8151
3 1 1,-00.7599,-00.7599,-00.6570,+00.0000,+00.0000,+00.0000
3 2 1,-00.7599,-00.6570,-00.6570,-00.6570,+00.0000,+00.0000
3 3 1,-00.6570,-00.7599,-00.5100,-00.6570,+00.0000,+00.0000
3 4 1,-00.5054,-00.5100,-00.7599,-00.5100,+00.0000,+00.0000
3 5 1,-00.6273,-00.6570,+00.0000,-00.7599,+00.0000,+00.0000
4 1 1,-00.5100,+00.0867,-00.3000,+00.0000,+00.0000,+00.0000
4 2 1,-00.5100,-00.3000,-00.4259,-00.3000,+00.0000,+00.0000
4 3 1,-00.3000,-00.5006,-00.3000,-00.3000,+00.0000,+00.0000
4 4 1,-00.6570,-00.5100,-00.5100,-00.5850,+00.0000,+00.0000
4 5 1,-00.7544,-00.7599,+00.0000,-00.6570,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+09.8787
5 2 1,-00.3000,+00.0000,+00.0000,+00.5044,+00.0000,+00.0000
5 3 1,-00.4813,+00.0000,-00.5100,-00.5054,+00.0000,+10.8151
5 4 1,-00.7599,+00.0000,-00.6570,-00.6570,+00.0000,+00.0000
5 5 1,-00.8824,+00.0000,+00.0000,-00.8824,+00.0000,+00.0000

FullState(5 1 0 0 0 0 5 5 5)
Iteration: 407
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151,+00.0000
1 2 0,+00.0000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
1 3 0,+00.0000,-00.5100,-00.6570,-00.5100,+00.0000,+00.0000
1 4 0,+00.0000,-00.8319,-00.8824,-00.8319,+00.0000,+00.0000
1 5 0,+00.0000,-00.9176,+00.0000,-00.8824,+00.0000,+00.0000
2 1 0,+01.0800,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,-00.3000,-00.5075,-00.3000,-00.4437,+00.0000,+00.0000
2 3 0,-00.3000,-00.3000,-00.3000,-00.5100,+00.0000,+00.0000
2 4 0,-00.9176,-00.6154,-00.3000,-00.3000,+00.0000,+00.0000
2 5 0,-00.8824,-00.8824,+00.0000,-00.8319,+00.0000,+00.0000
3 1 0,-00.6239,-00.5100,-00.4779,+00.0000,+00.0000,+00.0000
3 2 0,-00.6570,-00.3000,+00.0281,-00.5100,+00.0000,+00.0000
3 3 0,-00.3000,+00.0000,-00.6208,-00.2578,+10.8151,+00.0000
3 4 0,-00.3000,-00.6570,-00.3000,-00.2039,+00.0000,+00.0000
3 5 0,-00.7599,-00.5961,+00.0000,-00.5100,+00.0000,+00.0000
4 1 0,-00.7599,-00.6570,-00.6570,+00.0000,+00.0000,+00.0000
4 2 0,-00.6148,-00.5100,-00.6570,-00.5100,+00.0000,+00.0000
