FullState(5 1 0 0 0 0 5 5 5)
Iteration: 445
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938,+00.0000
1 2 0,+00.0000,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000
1 3 0,+00.0000,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
1 4 0,+00.0000,-00.9375,-00.8750,-00.9375,+00.0000,+00.0000
1 5 0,+00.0000,-00.9688,+00.0000,-00.9375,+00.0000,+00.0000
2 1 0,+02.2313,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,-00.5000,-00.5000,+00.0000,-00.4288,+00.0000,+00.0000
2 3 0,-00.5000,-00.5000,-00.5000,-00.5000,+00.0000,+00.0000
2 4 0,-00.9688,-00.7398,-00.5000,-00.5000,+00.0000,+00.0000
2 5 0,-00.9688,-00.9688,+00.0000,-00.9375,+00.0000,+00.0000
3 1 0,-00.5588,-00.5000,-00.3191,+00.0000,+00.0000,+00.0000
3 2 0,-00.5000,-00.5000,+00.1031,-00.7500,+00.0000,+00.0000
3 3 0,-00.5000,+00.0000,-00.7951,-00.3191,+12.5938,+00.0000
3 4 0,-00.5000,-00.8750,-00.5000,-00.3586,+00.0000,+00.0000
3 5 0,-00.8750,-00.6219,+00.0000,-00.7500,+00.0000,+00.0000
4 1 0,-00.8750,-00.7500,-00.8750,+00.0000,+00.0000,+00.0000
4 2 0,-00.6941,-00.7500,-00.8750,-00.7500,+00.0000,+00.0000
4 3 0,-00.5094,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
4 4 0,-00.5000,-00.7500,-00.6056,-00.6778,+00.0000,+00.0000
4 5 0,-00.7500,+02.1719,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.9688,+00.0000,-00.9688,+00.0000,+00.0000,+00.0000
5 2 0,-00.9375,+00.0000,-00.8750,-00.9375,+00.0000,+00.0000
5 3 0,-00.8653,+00.0000,-00.9375,-00.9375,+00.0000,+00.0000
5 4 0,-00.7500,+00.0000,+00.2250,-00.7500,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9980,-00.9980,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9922,-00.9922,-00.9844,+00.0000,+00.0000
1 3 1,+00.0000,-00.9375,-00.8750,-00.9375,+00.0000,+00.0000
1 4 1,+00.0000,-00.6788,-00.5000,-00.5000,+00.0000,+00.0000
1 5 1,+00.0000,+01.2063,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.9922,-00.9844,-00.9688,+00.0000,+00.0000,+00.0000
2 2 1,-00.9922,-00.9688,-00.9375,-00.9688,+00.0000,+00.0000
2 3 1,-00.8750,-00.8750,-00.7500,-00.9688,+00.0000,+00.0000
2 4 1,-00.5000,-00.7500,+01.5656,-00.5000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938
3 1 1,-00.9375,-00.9375,-00.8750,+00.0000,+00.0000,+00.0000
3 2 1,-00.9375,-00.9375,-00.7500,-00.8750,+00.0000,+00.0000
3 3 1,-00.9375,-00.9375,-00.8750,-00.8750,+00.0000,+00.0000
3 4 1,-00.5152,-00.7500,-00.9375,-00.7500,+00.0000,+00.0000
3 5 1,+00.7125,-00.7500,+00.0000,-00.8750,+00.0000,+00.0000
4 1 1,-00.7500,+00.7125,-00.5000,+00.0000,+00.0000,+00.0000
4 2 1,-00.7500,-00.5334,-00.6945,-00.5000,+00.0000,+00.0000
4 3 1,-00.7500,-00.5961,-00.7500,-00.7500,+00.0000,+00.0000
4 4 1,-00.7500,-00.7500,-00.7500,-00.8449,+00.0000,+00.0000
4 5 1,-00.7681,-00.8750,+00.0000,-00.8750,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+12.5938
5 2 1,-00.5000,+00.0000,+00.0000,+02.0500,+00.0000,+00.0000
5 3 1,-00.7038,+00.0000,-00.5000,-00.6788,+00.0000,+12.5938
5 4 1,-00.8750,+00.0000,-00.7500,-00.8750,+00.0000,+00.0000
5 5 1,-00.9688,+00.0000,+00.0000,-00.9688,+00.0000,+00.0000

FullState(5 1 0 0 0 0 5 5 5)
Iteration: 363
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,-00.5000,-00.5000,+00.0000,+12.5938,+00.0000
1 2 0,+00.0000,+01.3188,-00.5000,-00.5000,+00.0000,+00.0000
1 3 0,+00.0000,-00.8750,-00.7500,-00.8413,+00.0000,+00.0000
1 4 0,+00.0000,-00.9688,-00.3546,-00.9688,+00.0000,+00.0000
1 5 0,+00.0000,-00.9688,+00.0000,-00.9337,+13.3277,+00.0000
2 1 0,-00.1922,-00.5000,+01.8094,+00.0000,+00.0000,+00.0000
2 2 0,-00.5000,-00.5000,+00.0000,-00.4288,+12.5938,+00.0000
2 3 0,-00.7500,-00.7500,-00.7500,-00.7500,+00.0000,+00.0000
2 4 0,-00.9047,-00.8699,-00.7343,-00.7500,+00.0000,+00.0000
2 5 0,-00.3904,-00.9844,+00.0000,-00.9922,+00.0000,+00.0000
3 1 0,-00.6706,-00.8750,-00.6441,+00.0000,+00.0000,+00.0000
3 2 0,-00.5000,-00.9688,-00.7242,-00.9375,+00.0000,+00.0000
3 3 0,-00.8750,+00.0000,-00.9488,-00.8298,+12.5938,+00.0000
